District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Wan Chai,Gordon House,,6398
Kwun Tong,"Block 23, Laguna City",,6398
Yau Tsim Mong,"Tower 2, Harbour Green",,6399
Kowloon City,"Tower 26, Parc Oasis",,6401
Kwai Tsing,"Block 3, Highland Park",,6402
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6403
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6404
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6405
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6406
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6407
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6408
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6409
Kwun Tong,"Bik Lai House, Yau Lai Estate",,6410
Yuen Long,El Castillo,,6411
Kowloon City,"Tower 1A, Upper East",,6412
Tsuen Wan,"Block 5, Phase 2, Belvedere Garden",,6413
Yuen Long,"Shui Fai House, Tin Shui Estate",,6414
Central & Western,Kam Wa Building,,6415
Sham Shui Po,38 Fuk Wing Street,,6416
Islands,"Block 32, Crestmont Villa, Peninsula Village, Phase 4, Discovery Bay",,6417
Yau Tsim Mong,"Tower 5, Central Park",,6418
Sha Tin,"Shek Fai House, Chun Shek Estate",,6419
Eastern,"Yat Wah Mansion, Lei King Wan",,6420
Sha Tin,"Tower 3, Phase 1, Festival City",,6421
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6422
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6423
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6424
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6425
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6426
Yuen Long,"Block 1, Phase 6, Maywood Court",,6427
Central & Western,Siu Cheung Building,,6428
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6429
Tuen Mun,"Leung Chun House, Leung King Estate",,6430
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6431
Kwun Tong,"Tak Lok House, Tak Tin Estate",,6432
Eastern,"Hing Tsui House, Hing Wah (I) Estate",,6433
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6434
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6435
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6436
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6437
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6438
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6439
Islands,Hong Kong SkyCity Marriott Hotel,,6440
Kwun Tong,"Chun Moon House, Ko Chun Court",,6444
Kowloon City,Cumberland Road,,6447
Sham Shui Po,38 Fuk Wing Street,,6448
North,"Yung Wa House, Yung Shing Court",,6449
Kwai Tsing,"Fung King House, Lai King Estate",,6450
Yuen Long,"Cheuk Ping House, Long Ping Estate",,6451
Yau Tsim Mong,"Sky Tower, The Arch",,6452
